year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,101218,252.0,21.0,1688.0,3583.0,241.0,7.0,176.0,19.0,249.0,20.7,1667.7,3539.9,238.1,6.9,173.9,18.8
1982,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,37531,45.0,11.0,278.0,544.0,45.0,0.0,6.0,5.0,119.9,29.3,740.7,1449.5,119.9,0.0,16.0,13.3
1982,48,95.0,Knox,9,Central,Mostly Urban,24.3,59943,50.0,12.0,900.0,2087.0,60.0,1.0,19.0,9.0,83.4,20.0,1501.4,3481.6,100.1,1.7,31.7,15.0
1982,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,451470,897.0,124.0,4977.0,13494.0,999.0,23.0,586.0,86.0,198.7,27.5,1102.4,2988.9,221.3,5.1,129.8,19.0
1982,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,109687,67.0,13.0,766.0,1900.0,144.0,2.0,16.0,6.0,61.1,11.9,698.4,1732.2,131.3,1.8,14.6,5.5
1982,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18232,26.0,0.0,5.0,314.0,19.0,0.0,0.0,0.0,142.6,0.0,27.4,1722.2,104.2,0.0,0.0,0.0
1982,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,35724,12.0,8.0,246.0,481.0,33.0,0.0,5.0,4.0,33.6,22.4,688.6,1346.4,92.4,0.0,14.0,11.2
1982,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41003,18.0,2.0,172.0,509.0,32.0,0.0,8.0,3.0,43.9,4.9,419.5,1241.4,78.0,0.0,19.5,7.3
1982,54,107.0,Logan,11,Central,Mostly Urban,39.9,31419,36.0,9.0,393.0,800.0,55.0,0.0,5.0,2.0,114.6,28.6,1250.8,2546.2,175.1,0.0,15.9,6.4
1982,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38348,39.0,6.0,176.0,733.0,18.0,0.0,8.0,3.0,101.7,15.6,459.0,1911.4,46.9,0.0,20.9,7.8
1982,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,149834,144.0,18.0,1258.0,3325.0,214.0,4.0,33.0,9.0,96.1,12.0,839.6,2219.1,142.8,2.7,22.0,6.0
1982,57,113.0,McLean,11,Central,Mostly Urban,16.5,120379,193.0,23.0,1433.0,3612.0,143.0,5.0,54.0,19.0,160.3,19.1,1190.4,3000.5,118.8,4.2,44.9,15.8
1982,58,115.0,Macon,6,Central,Mostly Urban,15.3,128485,257.0,45.0,2491.0,4794.0,148.0,2.0,136.0,25.0,200.0,35.0,1938.7,3731.2,115.2,1.6,105.8,19.5
